,Unnamed: 0,path,filename,speaker_id,keyword,num_channels,sample_rate,num_frames,duration_sec,path_normalized
184,184,/mnt/data/GSC/speech_commands_v0.02/backward/1dc86f91_nohash_2.wav,1dc86f91_nohash_2.wav,1dc86f91,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/1dc86f91_nohash_2.wav
185,185,/mnt/data/GSC/speech_commands_v0.02/backward/1dc86f91_nohash_3.wav,1dc86f91_nohash_3.wav,1dc86f91,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/1dc86f91_nohash_3.wav
186,186,/mnt/data/GSC/speech_commands_v0.02/backward/1dc86f91_nohash_4.wav,1dc86f91_nohash_4.wav,1dc86f91,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/1dc86f91_nohash_4.wav
297,297,/mnt/data/GSC/speech_commands_v0.02/backward/2f0ce4d9_nohash_0.wav,2f0ce4d9_nohash_0.wav,2f0ce4d9,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/2f0ce4d9_nohash_0.wav
298,298,/mnt/data/GSC/speech_commands_v0.02/backward/2f0ce4d9_nohash_1.wav,2f0ce4d9_nohash_1.wav,2f0ce4d9,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/2f0ce4d9_nohash_1.wav
299,299,/mnt/data/GSC/speech_commands_v0.02/backward/2f0ce4d9_nohash_2.wav,2f0ce4d9_nohash_2.wav,2f0ce4d9,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/2f0ce4d9_nohash_2.wav
355,355,/mnt/data/GSC/speech_commands_v0.02/backward/3589bc72_nohash_0.wav,3589bc72_nohash_0.wav,3589bc72,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3589bc72_nohash_0.wav
356,356,/mnt/data/GSC/speech_commands_v0.02/backward/3589bc72_nohash_1.wav,3589bc72_nohash_1.wav,3589bc72,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3589bc72_nohash_1.wav
357,357,/mnt/data/GSC/speech_commands_v0.02/backward/3589bc72_nohash_2.wav,3589bc72_nohash_2.wav,3589bc72,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3589bc72_nohash_2.wav
358,358,/mnt/data/GSC/speech_commands_v0.02/backward/3589bc72_nohash_3.wav,3589bc72_nohash_3.wav,3589bc72,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3589bc72_nohash_3.wav
359,359,/mnt/data/GSC/speech_commands_v0.02/backward/365908bd_nohash_0.wav,365908bd_nohash_0.wav,365908bd,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/365908bd_nohash_0.wav
360,360,/mnt/data/GSC/speech_commands_v0.02/backward/365908bd_nohash_1.wav,365908bd_nohash_1.wav,365908bd,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/365908bd_nohash_1.wav
361,361,/mnt/data/GSC/speech_commands_v0.02/backward/365908bd_nohash_2.wav,365908bd_nohash_2.wav,365908bd,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/365908bd_nohash_2.wav
362,362,/mnt/data/GSC/speech_commands_v0.02/backward/365908bd_nohash_3.wav,365908bd_nohash_3.wav,365908bd,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/365908bd_nohash_3.wav
398,398,/mnt/data/GSC/speech_commands_v0.02/backward/3b4f8f24_nohash_0.wav,3b4f8f24_nohash_0.wav,3b4f8f24,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3b4f8f24_nohash_0.wav
399,399,/mnt/data/GSC/speech_commands_v0.02/backward/3b4f8f24_nohash_1.wav,3b4f8f24_nohash_1.wav,3b4f8f24,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3b4f8f24_nohash_1.wav
400,400,/mnt/data/GSC/speech_commands_v0.02/backward/3b4f8f24_nohash_2.wav,3b4f8f24_nohash_2.wav,3b4f8f24,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3b4f8f24_nohash_2.wav
401,401,/mnt/data/GSC/speech_commands_v0.02/backward/3b4f8f24_nohash_3.wav,3b4f8f24_nohash_3.wav,3b4f8f24,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3b4f8f24_nohash_3.wav
402,402,/mnt/data/GSC/speech_commands_v0.02/backward/3b4f8f24_nohash_4.wav,3b4f8f24_nohash_4.wav,3b4f8f24,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3b4f8f24_nohash_4.wav
403,403,/mnt/data/GSC/speech_commands_v0.02/backward/3bb68054_nohash_0.wav,3bb68054_nohash_0.wav,3bb68054,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3bb68054_nohash_0.wav
404,404,/mnt/data/GSC/speech_commands_v0.02/backward/3bb68054_nohash_1.wav,3bb68054_nohash_1.wav,3bb68054,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3bb68054_nohash_1.wav
405,405,/mnt/data/GSC/speech_commands_v0.02/backward/3bb68054_nohash_2.wav,3bb68054_nohash_2.wav,3bb68054,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3bb68054_nohash_2.wav
406,406,/mnt/data/GSC/speech_commands_v0.02/backward/3bb68054_nohash_3.wav,3bb68054_nohash_3.wav,3bb68054,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/3bb68054_nohash_3.wav
453,453,/mnt/data/GSC/speech_commands_v0.02/backward/435695e3_nohash_0.wav,435695e3_nohash_0.wav,435695e3,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/435695e3_nohash_0.wav
454,454,/mnt/data/GSC/speech_commands_v0.02/backward/435695e3_nohash_1.wav,435695e3_nohash_1.wav,435695e3,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/435695e3_nohash_1.wav
455,455,/mnt/data/GSC/speech_commands_v0.02/backward/435695e3_nohash_2.wav,435695e3_nohash_2.wav,435695e3,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/435695e3_nohash_2.wav
456,456,/mnt/data/GSC/speech_commands_v0.02/backward/435695e3_nohash_3.wav,435695e3_nohash_3.wav,435695e3,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/435695e3_nohash_3.wav
457,457,/mnt/data/GSC/speech_commands_v0.02/backward/45692b02_nohash_0.wav,45692b02_nohash_0.wav,45692b02,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/45692b02_nohash_0.wav
458,458,/mnt/data/GSC/speech_commands_v0.02/backward/45692b02_nohash_1.wav,45692b02_nohash_1.wav,45692b02,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/45692b02_nohash_1.wav
459,459,/mnt/data/GSC/speech_commands_v0.02/backward/45692b02_nohash_2.wav,45692b02_nohash_2.wav,45692b02,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/45692b02_nohash_2.wav
464,464,/mnt/data/GSC/speech_commands_v0.02/backward/472b8045_nohash_0.wav,472b8045_nohash_0.wav,472b8045,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/472b8045_nohash_0.wav
465,465,/mnt/data/GSC/speech_commands_v0.02/backward/472b8045_nohash_1.wav,472b8045_nohash_1.wav,472b8045,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/472b8045_nohash_1.wav
466,466,/mnt/data/GSC/speech_commands_v0.02/backward/472b8045_nohash_2.wav,472b8045_nohash_2.wav,472b8045,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/472b8045_nohash_2.wav
467,467,/mnt/data/GSC/speech_commands_v0.02/backward/472b8045_nohash_3.wav,472b8045_nohash_3.wav,472b8045,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/472b8045_nohash_3.wav
468,468,/mnt/data/GSC/speech_commands_v0.02/backward/472b8045_nohash_4.wav,472b8045_nohash_4.wav,472b8045,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/472b8045_nohash_4.wav
537,537,/mnt/data/GSC/speech_commands_v0.02/backward/542f38a2_nohash_0.wav,542f38a2_nohash_0.wav,542f38a2,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/542f38a2_nohash_0.wav
538,538,/mnt/data/GSC/speech_commands_v0.02/backward/542f38a2_nohash_1.wav,542f38a2_nohash_1.wav,542f38a2,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/542f38a2_nohash_1.wav
562,562,/mnt/data/GSC/speech_commands_v0.02/backward/578d3efb_nohash_0.wav,578d3efb_nohash_0.wav,578d3efb,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/578d3efb_nohash_0.wav
563,563,/mnt/data/GSC/speech_commands_v0.02/backward/578d3efb_nohash_1.wav,578d3efb_nohash_1.wav,578d3efb,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/578d3efb_nohash_1.wav
564,564,/mnt/data/GSC/speech_commands_v0.02/backward/578d3efb_nohash_2.wav,578d3efb_nohash_2.wav,578d3efb,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/578d3efb_nohash_2.wav
565,565,/mnt/data/GSC/speech_commands_v0.02/backward/578d3efb_nohash_3.wav,578d3efb_nohash_3.wav,578d3efb,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/578d3efb_nohash_3.wav
566,566,/mnt/data/GSC/speech_commands_v0.02/backward/578d3efb_nohash_4.wav,578d3efb_nohash_4.wav,578d3efb,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/578d3efb_nohash_4.wav
667,667,/mnt/data/GSC/speech_commands_v0.02/backward/66e8a4ec_nohash_0.wav,66e8a4ec_nohash_0.wav,66e8a4ec,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/66e8a4ec_nohash_0.wav
690,690,/mnt/data/GSC/speech_commands_v0.02/backward/6aa8def4_nohash_0.wav,6aa8def4_nohash_0.wav,6aa8def4,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/6aa8def4_nohash_0.wav
691,691,/mnt/data/GSC/speech_commands_v0.02/backward/6aa8def4_nohash_1.wav,6aa8def4_nohash_1.wav,6aa8def4,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/6aa8def4_nohash_1.wav
692,692,/mnt/data/GSC/speech_commands_v0.02/backward/6aa8def4_nohash_2.wav,6aa8def4_nohash_2.wav,6aa8def4,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/6aa8def4_nohash_2.wav
693,693,/mnt/data/GSC/speech_commands_v0.02/backward/6aa8def4_nohash_3.wav,6aa8def4_nohash_3.wav,6aa8def4,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/6aa8def4_nohash_3.wav
694,694,/mnt/data/GSC/speech_commands_v0.02/backward/6aa8def4_nohash_4.wav,6aa8def4_nohash_4.wav,6aa8def4,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/6aa8def4_nohash_4.wav
719,719,/mnt/data/GSC/speech_commands_v0.02/backward/72242187_nohash_0.wav,72242187_nohash_0.wav,72242187,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/72242187_nohash_0.wav
720,720,/mnt/data/GSC/speech_commands_v0.02/backward/72242187_nohash_1.wav,72242187_nohash_1.wav,72242187,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/72242187_nohash_1.wav
721,721,/mnt/data/GSC/speech_commands_v0.02/backward/72242187_nohash_2.wav,72242187_nohash_2.wav,72242187,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/72242187_nohash_2.wav
722,722,/mnt/data/GSC/speech_commands_v0.02/backward/72242187_nohash_3.wav,72242187_nohash_3.wav,72242187,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/72242187_nohash_3.wav
723,723,/mnt/data/GSC/speech_commands_v0.02/backward/72242187_nohash_4.wav,72242187_nohash_4.wav,72242187,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/72242187_nohash_4.wav
769,769,/mnt/data/GSC/speech_commands_v0.02/backward/7d6b4b10_nohash_0.wav,7d6b4b10_nohash_0.wav,7d6b4b10,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/7d6b4b10_nohash_0.wav
770,770,/mnt/data/GSC/speech_commands_v0.02/backward/7d6b4b10_nohash_1.wav,7d6b4b10_nohash_1.wav,7d6b4b10,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/7d6b4b10_nohash_1.wav
771,771,/mnt/data/GSC/speech_commands_v0.02/backward/7d6b4b10_nohash_2.wav,7d6b4b10_nohash_2.wav,7d6b4b10,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/7d6b4b10_nohash_2.wav
772,772,/mnt/data/GSC/speech_commands_v0.02/backward/7d6b4b10_nohash_3.wav,7d6b4b10_nohash_3.wav,7d6b4b10,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/7d6b4b10_nohash_3.wav
773,773,/mnt/data/GSC/speech_commands_v0.02/backward/7d6b4b10_nohash_4.wav,7d6b4b10_nohash_4.wav,7d6b4b10,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/7d6b4b10_nohash_4.wav
801,801,/mnt/data/GSC/speech_commands_v0.02/backward/82951cf0_nohash_0.wav,82951cf0_nohash_0.wav,82951cf0,backward,1,16000,12970,0.810625,/mnt/data/GSC/normalized-dataset/backward/82951cf0_nohash_0.wav
829,829,/mnt/data/GSC/speech_commands_v0.02/backward/87070229_nohash_0.wav,87070229_nohash_0.wav,87070229,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/87070229_nohash_0.wav
830,830,/mnt/data/GSC/speech_commands_v0.02/backward/87070229_nohash_1.wav,87070229_nohash_1.wav,87070229,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/87070229_nohash_1.wav
831,831,/mnt/data/GSC/speech_commands_v0.02/backward/87070229_nohash_2.wav,87070229_nohash_2.wav,87070229,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/87070229_nohash_2.wav
832,832,/mnt/data/GSC/speech_commands_v0.02/backward/87070229_nohash_3.wav,87070229_nohash_3.wav,87070229,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/87070229_nohash_3.wav
833,833,/mnt/data/GSC/speech_commands_v0.02/backward/8769c34c_nohash_0.wav,8769c34c_nohash_0.wav,8769c34c,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8769c34c_nohash_0.wav
834,834,/mnt/data/GSC/speech_commands_v0.02/backward/8769c34c_nohash_1.wav,8769c34c_nohash_1.wav,8769c34c,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8769c34c_nohash_1.wav
835,835,/mnt/data/GSC/speech_commands_v0.02/backward/8769c34c_nohash_2.wav,8769c34c_nohash_2.wav,8769c34c,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8769c34c_nohash_2.wav
836,836,/mnt/data/GSC/speech_commands_v0.02/backward/8769c34c_nohash_3.wav,8769c34c_nohash_3.wav,8769c34c,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8769c34c_nohash_3.wav
881,881,/mnt/data/GSC/speech_commands_v0.02/backward/8dc18a75_nohash_0.wav,8dc18a75_nohash_0.wav,8dc18a75,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8dc18a75_nohash_0.wav
882,882,/mnt/data/GSC/speech_commands_v0.02/backward/8dc18a75_nohash_1.wav,8dc18a75_nohash_1.wav,8dc18a75,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8dc18a75_nohash_1.wav
883,883,/mnt/data/GSC/speech_commands_v0.02/backward/8dc18a75_nohash_2.wav,8dc18a75_nohash_2.wav,8dc18a75,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8dc18a75_nohash_2.wav
884,884,/mnt/data/GSC/speech_commands_v0.02/backward/8dc18a75_nohash_3.wav,8dc18a75_nohash_3.wav,8dc18a75,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8dc18a75_nohash_3.wav
885,885,/mnt/data/GSC/speech_commands_v0.02/backward/8dc18a75_nohash_4.wav,8dc18a75_nohash_4.wav,8dc18a75,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/8dc18a75_nohash_4.wav
943,943,/mnt/data/GSC/speech_commands_v0.02/backward/983577be_nohash_0.wav,983577be_nohash_0.wav,983577be,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/983577be_nohash_0.wav
960,960,/mnt/data/GSC/speech_commands_v0.02/backward/9b8a7439_nohash_0.wav,9b8a7439_nohash_0.wav,9b8a7439,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/9b8a7439_nohash_0.wav
961,961,/mnt/data/GSC/speech_commands_v0.02/backward/9b8a7439_nohash_1.wav,9b8a7439_nohash_1.wav,9b8a7439,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/9b8a7439_nohash_1.wav
962,962,/mnt/data/GSC/speech_commands_v0.02/backward/9b8a7439_nohash_2.wav,9b8a7439_nohash_2.wav,9b8a7439,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/9b8a7439_nohash_2.wav
963,963,/mnt/data/GSC/speech_commands_v0.02/backward/9b8a7439_nohash_3.wav,9b8a7439_nohash_3.wav,9b8a7439,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/9b8a7439_nohash_3.wav
964,964,/mnt/data/GSC/speech_commands_v0.02/backward/9b8a7439_nohash_4.wav,9b8a7439_nohash_4.wav,9b8a7439,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/9b8a7439_nohash_4.wav
997,997,/mnt/data/GSC/speech_commands_v0.02/backward/a16013b7_nohash_0.wav,a16013b7_nohash_0.wav,a16013b7,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/a16013b7_nohash_0.wav
998,998,/mnt/data/GSC/speech_commands_v0.02/backward/a16013b7_nohash_1.wav,a16013b7_nohash_1.wav,a16013b7,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/a16013b7_nohash_1.wav
999,999,/mnt/data/GSC/speech_commands_v0.02/backward/a16013b7_nohash_2.wav,a16013b7_nohash_2.wav,a16013b7,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/a16013b7_nohash_2.wav
1000,1000,/mnt/data/GSC/speech_commands_v0.02/backward/a16013b7_nohash_3.wav,a16013b7_nohash_3.wav,a16013b7,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/a16013b7_nohash_3.wav
1001,1001,/mnt/data/GSC/speech_commands_v0.02/backward/a16013b7_nohash_4.wav,a16013b7_nohash_4.wav,a16013b7,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/a16013b7_nohash_4.wav
1049,1049,/mnt/data/GSC/speech_commands_v0.02/backward/a7acbbeb_nohash_0.wav,a7acbbeb_nohash_0.wav,a7acbbeb,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/a7acbbeb_nohash_0.wav
1050,1050,/mnt/data/GSC/speech_commands_v0.02/backward/a7acbbeb_nohash_1.wav,a7acbbeb_nohash_1.wav,a7acbbeb,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/a7acbbeb_nohash_1.wav
1051,1051,/mnt/data/GSC/speech_commands_v0.02/backward/a7acbbeb_nohash_2.wav,a7acbbeb_nohash_2.wav,a7acbbeb,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/a7acbbeb_nohash_2.wav
1084,1084,/mnt/data/GSC/speech_commands_v0.02/backward/ace072ba_nohash_0.wav,ace072ba_nohash_0.wav,ace072ba,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/ace072ba_nohash_0.wav
1085,1085,/mnt/data/GSC/speech_commands_v0.02/backward/ace072ba_nohash_1.wav,ace072ba_nohash_1.wav,ace072ba,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/ace072ba_nohash_1.wav
1086,1086,/mnt/data/GSC/speech_commands_v0.02/backward/ace072ba_nohash_2.wav,ace072ba_nohash_2.wav,ace072ba,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/ace072ba_nohash_2.wav
1087,1087,/mnt/data/GSC/speech_commands_v0.02/backward/ace072ba_nohash_3.wav,ace072ba_nohash_3.wav,ace072ba,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/ace072ba_nohash_3.wav
1127,1127,/mnt/data/GSC/speech_commands_v0.02/backward/b44007bc_nohash_0.wav,b44007bc_nohash_0.wav,b44007bc,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/b44007bc_nohash_0.wav
1128,1128,/mnt/data/GSC/speech_commands_v0.02/backward/b44007bc_nohash_1.wav,b44007bc_nohash_1.wav,b44007bc,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/b44007bc_nohash_1.wav
1157,1157,/mnt/data/GSC/speech_commands_v0.02/backward/b69fe0e2_nohash_0.wav,b69fe0e2_nohash_0.wav,b69fe0e2,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/b69fe0e2_nohash_0.wav
1158,1158,/mnt/data/GSC/speech_commands_v0.02/backward/b69fe0e2_nohash_1.wav,b69fe0e2_nohash_1.wav,b69fe0e2,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/b69fe0e2_nohash_1.wav
1159,1159,/mnt/data/GSC/speech_commands_v0.02/backward/b69fe0e2_nohash_2.wav,b69fe0e2_nohash_2.wav,b69fe0e2,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/b69fe0e2_nohash_2.wav
1160,1160,/mnt/data/GSC/speech_commands_v0.02/backward/b69fe0e2_nohash_3.wav,b69fe0e2_nohash_3.wav,b69fe0e2,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/b69fe0e2_nohash_3.wav
1161,1161,/mnt/data/GSC/speech_commands_v0.02/backward/b69fe0e2_nohash_4.wav,b69fe0e2_nohash_4.wav,b69fe0e2,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/b69fe0e2_nohash_4.wav
1229,1229,/mnt/data/GSC/speech_commands_v0.02/backward/c0e3ff37_nohash_0.wav,c0e3ff37_nohash_0.wav,c0e3ff37,backward,1,16000,8916,0.55725,/mnt/data/GSC/normalized-dataset/backward/c0e3ff37_nohash_0.wav
1230,1230,/mnt/data/GSC/speech_commands_v0.02/backward/c0e3ff37_nohash_1.wav,c0e3ff37_nohash_1.wav,c0e3ff37,backward,1,16000,13375,0.8359375,/mnt/data/GSC/normalized-dataset/backward/c0e3ff37_nohash_1.wav
1232,1232,/mnt/data/GSC/speech_commands_v0.02/backward/c2657ba5_nohash_0.wav,c2657ba5_nohash_0.wav,c2657ba5,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/c2657ba5_nohash_0.wav
1233,1233,/mnt/data/GSC/speech_commands_v0.02/backward/c2657ba5_nohash_1.wav,c2657ba5_nohash_1.wav,c2657ba5,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/c2657ba5_nohash_1.wav
1246,1246,/mnt/data/GSC/speech_commands_v0.02/backward/c50f55b8_nohash_0.wav,c50f55b8_nohash_0.wav,c50f55b8,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/c50f55b8_nohash_0.wav
1247,1247,/mnt/data/GSC/speech_commands_v0.02/backward/c50f55b8_nohash_1.wav,c50f55b8_nohash_1.wav,c50f55b8,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/c50f55b8_nohash_1.wav
1248,1248,/mnt/data/GSC/speech_commands_v0.02/backward/c50f55b8_nohash_10.wav,c50f55b8_nohash_10.wav,c50f55b8,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/c50f55b8_nohash_10.wav
1249,1249,/mnt/data/GSC/speech_commands_v0.02/backward/c50f55b8_nohash_11.wav,c50f55b8_nohash_11.wav,c50f55b8,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/c50f55b8_nohash_11.wav
